region,crop_type,yield
West,Spinach,3.9
South,Rice,6.3
West,Barley,4.3
North,Maize,5.9
Central,Potato,7.3
East,Cucumber,7.7
South,Beans,5.8
East,Pepper,7.3
North,Soybean,4.3
West,Barley,4.9
North,Maize,5.7
Central,Potato,6.8
North,Soybean,4.3
East,Tomato,7.2
Central,Carrot,7.4
South,Beans,5.5
West,Spinach,4.3
Central,Onion,5.6
Central,Onion,5.1
North,Soybean,4.3
Central,Potato,7.4
North,Soybean,4.3
Central,Carrot,7
Central,Onion,6.2
South,Beans,5.1
Central,Potato,6.1
West,Barley,4.2
North,Maize,5.8
North,Soybean,5.3
North,Soybean,5.2
West,Spinach,4.3
West,Lettuce,3.2
South,Rice,6.9
North,Soybean,4.8
North,Wheat,5.3
East,Pepper,6.1
East,Tomato,7.3
North,Wheat,5.9
West,Barley,4.8
East,Cucumber,8.5
West,Lettuce,3.2
East,Pepper,7
West,Lettuce,3.3
Central,Carrot,6.6
East,Tomato,7.3
East,Cucumber,7.2
West,Barley,4.1
South,Beans,5.3
West,Barley,4.8
West,Barley,4.2
East,Pepper,7.4
West,Barley,4.1
North,Soybean,5.5
North,Maize,5.9
Central,Onion,5
West,Spinach,4.8
North,Maize,5.7
North,Soybean,4.7
East,Cucumber,7.1
North,Maize,6.1
East,Tomato,8.3
West,Barley,4.4
South,Peas,6.4
West,Lettuce,4
North,Wheat,4.6
South,Rice,6.8
North,Wheat,5.6
North,Maize,6
East,Tomato,8.3
West,Spinach,4.9
East,Tomato,7.5
East,Tomato,7.6
North,Wheat,4.9
North,Soybean,5.3
West,Spinach,4.1
Central,Carrot,6.5
Central,Potato,6.9
Central,Potato,6.4
Central,Potato,7.2
South,Rice,7
West,Spinach,3.8
South,Peas,6.9
West,Barley,4.5
West,Spinach,4.9
West,Lettuce,4.1
West,Lettuce,3.1
Central,Potato,6.8
North,Wheat,5.3
Central,Onion,5.9
South,Beans,5.6
East,Pepper,7.2
Central,Onion,5.2
East,Tomato,8.1
East,Cucumber,7.6
North,Wheat,5.8
West,Spinach,3.8
East,Cucumber,8.5
Central,Carrot,7.5
South,Peas,6.7
North,Maize,5.2
Central,Onion,5.2
West,Spinach,3.9
West,Barley,4.8
North,Soybean,5.1
Central,Carrot,6.5
West,Barley,4.2
East,Cucumber,7.7
West,Barley,4.8
East,Pepper,6.3
North,Wheat,4.5
East,Tomato,8.1
West,Lettuce,3.5
Central,Potato,7
North,Wheat,5.1
West,Spinach,4.7
North,Soybean,5.4
South,Peas,7.5
West,Lettuce,4.4
South,Beans,5.8
East,Cucumber,8.2
West,Barley,4.6
East,Cucumber,7.7
East,Cucumber,7.7
North,Soybean,5.1
North,Soybean,4.4
Central,Potato,7
West,Lettuce,3.7
West,Spinach,4.1
North,Wheat,4.9
East,Cucumber,7.9
South,Peas,6.1
South,Beans,5
Central,Potato,7.4
South,Beans,4.8
North,Maize,5.8
Central,Carrot,6.4
Central,Onion,6.4
North,Soybean,5.1
Central,Carrot,6.2
North,Wheat,5.6
West,Lettuce,4
Central,Carrot,7.1
West,Spinach,4.4
Central,Onion,6
West,Lettuce,4.4
North,Soybean,5
West,Lettuce,4.1
East,Cucumber,7.4
North,Wheat,5
South,Peas,6.2
West,Barley,4.5
West,Barley,3.8
West,Barley,4.3
Central,Potato,6.2
North,Soybean,4.7
East,Tomato,8.5
West,Spinach,3.8
East,Cucumber,8.1
South,Peas,7.2
South,Beans,6
South,Beans,4.9
West,Spinach,4.9
East,Tomato,8.2
East,Cucumber,7.6
West,Spinach,4.7
Central,Onion,5.3
East,Pepper,6.1
South,Beans,4.9
Central,Carrot,6.6
East,Tomato,7.2
South,Peas,7
Central,Potato,6.2
West,Barley,3.9
North,Wheat,6
East,Cucumber,7.2
West,Lettuce,4.3
West,Barley,3.8
North,Maize,5.4
South,Rice,6.9
South,Peas,6.6
West,Spinach,4.6
Central,Carrot,7.4
West,Lettuce,3.9
East,Cucumber,7.3
South,Peas,6.4
East,Cucumber,8
Central,Onion,5.6
Central,Potato,6
North,Soybean,4.7
East,Tomato,8.2
Central,Carrot,7.1
North,Soybean,4.1
South,Peas,6.7
South,Rice,5.6
West,Lettuce,3.6
North,Maize,6
East,Pepper,6.8
Central,Carrot,7.4
East,Cucumber,7.7
South,Rice,5.7
South,Rice,5.8
North,Soybean,4.8
South,Beans,4.6
West,Spinach,4.6
North,Soybean,5.5
West,Lettuce,4.2
Central,Potato,6.1
North,Wheat,5.2
East,Cucumber,8.4
Central,Carrot,6.7
Central,Onion,5.8
South,Peas,7.4
Central,Onion,6
East,Pepper,7
East,Cucumber,7.6
North,Maize,5.4
Central,Onion,6
West,Spinach,4.1
East,Tomato,8
Central,Carrot,7.5
West,Spinach,4.8
North,Maize,5.2
North,Wheat,5.8
West,Lettuce,3.8
East,Pepper,7.4
South,Rice,6.2
North,Wheat,4.8
West,Spinach,4.2
Central,Potato,6.8
West,Barley,4.6
Central,Carrot,7.4
West,Lettuce,3.3
West,Barley,4.1
Central,Potato,7.3
South,Beans,4.5
Central,Onion,5.2
North,Maize,5.1
West,Barley,3.9
South,Beans,5.4
North,Maize,5.8
North,Wheat,5.1
North,Wheat,4.8
North,Wheat,5.9
North,Soybean,5.3
West,Spinach,4.5
Central,Onion,6.3
South,Peas,6
West,Lettuce,3.5
East,Tomato,7.8
East,Pepper,6.1
Central,Carrot,6.3
North,Wheat,5.6
East,Cucumber,7.8
East,Cucumber,8.3
North,Maize,5.7
West,Lettuce,4
Central,Onion,5.7
South,Rice,5.9
Central,Carrot,7.3
North,Soybean,4.6
West,Lettuce,3.9
South,Beans,4.7
West,Barley,3.9
East,Pepper,6.6
East,Pepper,6
West,Lettuce,3.6
West,Spinach,4.7
West,Lettuce,4.2
South,Peas,6.7
West,Lettuce,4.2
West,Spinach,4.1
Central,Potato,6.6
North,Wheat,4.8
East,Pepper,7.2
West,Spinach,3.7
Central,Potato,6.7
West,Spinach,4.2
West,Barley,3.6
West,Spinach,4.6
North,Maize,6.3
West,Spinach,4
East,Pepper,6.6
Central,Onion,6
East,Tomato,8.1
East,Tomato,7.1
West,Barley,4.4
North,Maize,5.8
North,Maize,5.2
West,Barley,4.4
South,Rice,5.7
East,Cucumber,7.4
West,Barley,3.9
Central,Onion,5.8
West,Barley,3.5
South,Beans,5.4
North,Wheat,5.5
South,Beans,5.5
Central,Onion,5.2
East,Cucumber,8.2
North,Maize,5.1
North,Soybean,4.3
North,Wheat,4.5
Central,Carrot,6.7
East,Cucumber,8.3
Central,Onion,6.4
Central,Carrot,6.5
East,Cucumber,8.1
South,Peas,7.3
Central,Potato,7
East,Tomato,7.4
East,Pepper,6.1
South,Beans,4.9
North,Soybean,4.4
East,Tomato,7.6
Central,Onion,5.8
West,Lettuce,4.3
East,Tomato,7.6
South,Rice,5.8
North,Wheat,5.5
Central,Carrot,6.5
North,Wheat,4.7
East,Cucumber,7.9
North,Wheat,5.6
West,Lettuce,4.2
Central,Onion,6.3
Central,Carrot,6.5
East,Cucumber,8.1
East,Pepper,7.2
East,Tomato,7.3
East,Tomato,7.1
South,Peas,6.2
West,Spinach,4.4
West,Lettuce,4.4
East,Cucumber,7
West,Lettuce,4.1
East,Pepper,7
Central,Carrot,6.3
North,Wheat,5.7
Central,Carrot,7.3
South,Rice,5.8
South,Peas,7.3
North,Maize,5.1
South,Beans,4.6
Central,Potato,7.1
West,Barley,4.3
West,Lettuce,3.9
East,Cucumber,8.4
East,Tomato,8.2
East,Tomato,7.1
Central,Onion,5.4
West,Spinach,4.9
South,Rice,6.1
Central,Onion,6.2
North,Soybean,4.4
Central,Onion,5.6
Central,Carrot,6.2
West,Spinach,3.6
Central,Onion,6
North,Wheat,5.7
North,Soybean,5.3
North,Soybean,5.2
West,Spinach,4.1
South,Rice,6.8
North,Wheat,5.8
South,Rice,5.9
East,Pepper,7.3
South,Peas,6.6
Central,Onion,5.1
Central,Carrot,6.3
North,Soybean,4.5
Central,Carrot,6.1
North,Wheat,6
East,Pepper,7.4
Central,Onion,5.7
North,Wheat,4.8
